-	mapped_CRC001_H_single.sam	mapped_CRC001_T_single.sam	mapped_CRC002_H_single.sam	mapped_CRC002_T_single.sam	mapped_CRC003_H_single.sam	mapped_CRC003_T_single.sam	mapped_CRC004_H_single.sam	mapped_CRC004_T_single.sam	mapped_CRC005_H_single.sam	mapped_CRC005_T_single.sam	mapped_CRC006_H_single.sam	mapped_CRC006_T_single.sam	mapped_CRC007_H_single.sam	mapped_CRC007_T_single.sam	mapped_CRC009_H_single.sam	mapped_CRC009_T_single.sam	mapped_CRC010_H_single.sam	mapped_CRC010_T_single.sam	mapped_CRC011_H_single.sam	mapped_CRC011_T_single.sam	mapped_CRC012_H_single.sam	mapped_CRC012_T_single.sam	mapped_CRC013_H_single.sam	mapped_CRC013_T_single.sam
NODE_33079_length_880_cov_1.63394	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0
NODE_33112_length_897_cov_2.38124	4	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
NODE_33301_length_804_cov_1.02403	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
NODE_33314_length_1037_cov_1.68941	4	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	4	0	0	2	0	0	1	0
NODE_33469_length_980_cov_1.15892	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NODE_33568_length_1223_cov_2.04195	0	0	0	0	0	1	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_33615_length_967_cov_1.14364	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NODE_33641_length_963_cov_1.6696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
NODE_33683_length_852_cov_1.01255	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_33730_length_822_cov_1.03781	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NODE_33736_length_1299_cov_1.5	0	0	0	0	0	2	0	0	3	0	1	4	0	0	0	0	0	0	0	1	0	0	0	0
NODE_33759_length_848_cov_1.01513	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
NODE_33776_length_2237_cov_1.42163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	1	0	1	0	0	0	0	0
NODE_33778_length_1283_cov_1.12622	0	0	0	0	1	0	0	0	0	2	0	0	3	1	0	1	1	0	0	0	0	0	0	0
NODE_33788_length_1076_cov_1.48384	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_33794_length_918_cov_1.45423	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0
NODE_33857_length_820_cov_1.66797	0	0	2	0	1	1	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_33910_length_980_cov_4.4627	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	1	1	0	0	12
NODE_33914_length_809_cov_1.62865	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
NODE_33935_length_1068_cov_1.5844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
NODE_33981_length_845_cov_1.5038	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
NODE_33998_length_920_cov_1.6578	6	3	0	4	2	1	0	2	1	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0
NODE_34220_length_1385_cov_2.15113	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0
NODE_34221_length_817_cov_1.88583	0	0	0	1	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NODE_34393_length_954_cov_1.02225	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0
NODE_34416_length_1186_cov_4.49072	0	0	0	0	0	0	1	0	0	68	0	0	0	0	8	10	0	0	0	0	2	0	0	0
NODE_34444_length_1260_cov_2.70871	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	0	0	0	0	10
